"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"e01749",60354,59994,59033,58557,16345,8848
"e01750",38893,38733,37285,37841,13886,4224
"e01751",31303,31051,30618,29659,8141,7928
"e01752",158048,157708,156856,154390,32116,0
"e01753",40446,40373,40277,38850,18650,0
"e01754",48747,48655,48509,48558,2313,452
"e01755",26513,26448,26303,26197,11250,1994
"e01756",29893,29736,29416,29402,11010,3822
"e01757",18723,18538,18083,17958,6015,4400
"e01758",30224,30130,29894,29791,15337,4107
"e01759",38118,37808,36149,36990,16191,5635
"e01760",23856,23738,23164,22677,10465,2331
"e01761",28803,28698,28524,26648,13300,4605
"e01762",27200,27076,26702,25954,17608,6775
"e01763",10092,10038,9951,9970,2162,1775
"e01764",254,254,233,248,58,41
"e01765",25313,25223,24844,24981,13785,4596
"e01766",35163,35063,34656,34761,18526,4012
"e01767",47311,47182,46847,46407,11915,3055
"e01768",47248,47046,46825,46911,4398,3674
"e01769",24675,24637,24501,23414,12475,829
"e01770",24449,24277,23195,23638,19366,4825
"e01771",37547,37176,35664,35215,18644,8546
"e01772",27909,27761,27470,27668,7701,3834
"e01773",1831,1821,1784,1013,944,421
"e01774",21614,21436,20999,20688,6130,5251
"e01775",28600,28574,28469,28273,19618,0
"e01776",30200,30156,29850,29946,22006,4650
"e01777",23195,23173,23086,21661,14122,10
"e01778",23350,23016,22394,21093,8642,7816
"e01779",34516,34344,32687,32627,14525,3949
"e01780",30348,30289,29542,29193,20141,4256
"e01781",40123,39903,38315,38024,15133,5179
"e01782",34352,34229,33877,33770,14999,6844
"e01783",30084,29930,29573,29639,4618,3375
"e01784",28819,28644,28324,28555,8054,3302
"e01785",27771,27672,26990,27151,23777,4537
"e01786",28255,28163,28003,20097,10996,2
"e01787",34113,33966,33556,33604,14401,3310
"e01788",18615,18444,18213,18327,2738,2389
"e01789",34932,34626,34138,34522,8118,4271
"e01790",28843,28813,28642,28641,21817,1501
"e01791",27711,27355,26150,26918,19607,5726
"e01792",28766,28737,28542,28092,13111,0
"e01793",28678,28611,28405,27596,21494,2370
"e01794",23867,23775,23420,22981,15296,3778
"e01795",26479,26308,25945,26077,3982,3112
"e01796",19725,19592,18900,19358,12073,3887
"e01797",46675,46597,46517,46493,4,0
"e01798",41331,41012,40546,40376,11548,9773
"e01799",42805,42521,42049,42334,8289,6931
"e01800",31939,31816,29485,31740,9216,0
"e01801",1785,1772,1698,1681,409,274
"e01802",37472,37368,37186,37265,13973,0
"e01803",38253,37824,37181,37577,7468,5993
"e01804",44499,44198,43620,44063,8605,7579
"e01805",28564,28380,27975,27704,11936,4018
"e01806",25408,25254,24813,25185,4802,2932
"e01807",22283,22252,22227,22182,3556,0
"e01808",32823,32629,32050,32070,15073,1957
"e01809",22389,22122,19126,21387,12460,4790
"e01810",27407,27211,26905,26443,6278,5125
"e01811",27779,27429,26398,27042,15498,5679
"e01812",30208,29968,29616,29824,3128,2578
"e01813",14057,13928,13653,13472,7409,1051
"e01814",12903,12805,12144,12709,8206,2318
"e01815",22385,22329,22212,22112,9531,1049
"e01816",22891,22734,22226,22320,12169,2475
"e01817",16782,16731,16590,12747,6290,1168
"e01818",16671,16432,15903,15749,4547,3800
"e01819",21438,21226,20531,20242,10392,1743
"e01820",21543,21424,20996,21191,9721,2369
